         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.001    0.000    0.163    0.033 util.py:1(<module>)
      486    0.008    0.000    0.158    0.000 typing.py:753(Union)
3297/2430    0.053    0.000    0.154    0.000 _repr.py:91(display_as_type)
      682    0.002    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      682    0.008    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
 1782/198    0.045    0.000    0.149    0.001 _compiler.py:37(_compile)
  5264/63    0.031    0.000    0.145    0.002 _discriminated_union.py:45(inner)
       63    0.000    0.000    0.144    0.002 _core_utils.py:114(collect_definitions)
  5264/63    0.023    0.000    0.144    0.002 _core_utils.py:117(_record_valid_refs)
        1    0.000    0.000    0.140    0.140 _base_connection.py:1(<module>)
    20644    0.085    0.000    0.140    0.000 typing.py:1294(_is_dunder)
     1092    0.027    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        2    0.000    0.000    0.131    0.065 dml.py:1(<module>)
        1    0.000    0.000    0.129    0.129 crud.py:1(<module>)
    88802    0.128    0.000    0.128    0.000 {method 'get' of 'dict' objects}
       50    0.000    0.000    0.127    0.003 _model_construction.py:522(set_model_fields)
        1    0.000    0.000    0.126    0.126 base_events.py:1(<module>)
        2    0.000    0.000    0.126    0.063 url.py:1(<module>)
        1    0.000    0.000    0.125    0.125 ssl_.py:1(<module>)
       50    0.010    0.000    0.124    0.002 _fields.py:74(collect_model_fields)
        1    0.000    0.000    0.120    0.120 environment.py:1(<module>)
        1    0.000    0.000    0.115    0.115 url.py:761(_get_entrypoint)
        1    0.000    0.000    0.115    0.115 langhelpers.py:360(load)
        1    0.000    0.000    0.115    0.115 __init__.py:23(_auto_fn)
       63    0.000    0.000    0.114    0.002 _core_utils.py:147(collect_invalid_schemas)
  5264/63    0.015    0.000    0.113    0.002 _core_utils.py:150(_is_schema_valid)
    11531    0.040    0.000    0.113    0.000 typing.py:1368(__setattr__)
       85    0.000    0.000    0.108    0.001 dataclasses.py:1294(wrap)
  5135/63    0.016    0.000    0.107    0.002 _core_utils.py:470(count_refs)
       85    0.011    0.000    0.107    0.001 dataclasses.py:929(_process_class)
