         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _compat.py:87(ModelField)
       46    0.000    0.000    0.002    0.000 __init__.py:739(joinpath)
        2    0.000    0.000    0.002    0.001 _adapters.py:1(<module>)
     1201    0.002    0.000    0.002    0.000 _schema_generation_shared.py:73(__init__)
        2    0.000    0.000    0.002    0.001 background.py:1(<module>)
       50    0.001    0.000    0.002    0.000 _model_construction.py:277(_collect_bases_data)
        1    0.000    0.000    0.002    0.002 mimetypes.py:1(<module>)
      117    0.001    0.000    0.002    0.000 __init__.py:400(__getattr__)
      369    0.001    0.000    0.002    0.000 _typing_extra.py:454(_type_convert)
      403    0.001    0.000    0.002    0.000 inspect.py:509(iscode)
     1062    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
       51    0.000    0.000    0.002    0.000 _abc.py:130(with_segments)
       52    0.000    0.000    0.002    0.000 ipaddress.py:1930(__init__)
      396    0.001    0.000    0.002    0.000 _compiler.py:573(isstring)
        1    0.000    0.000    0.002    0.002 state_changes.py:1(<module>)
       63    0.000    0.000    0.002    0.000 <frozen _collections_abc>:897(__iter__)
        1    0.000    0.000    0.002    0.002 raw_cursor.py:1(<module>)
        1    0.000    0.000    0.002    0.002 psycopg.py:334(__init__)
        1    0.000    0.000    0.002    0.002 selectable.py:6696(ScalarSelect)
      739    0.002    0.000    0.002    0.000 enum.py:760(__delattr__)
     1184    0.002    0.000    0.002    0.000 _typing_extra.py:377(is_zoneinfo_type)
       11    0.000    0.000    0.002    0.000 main.py:113(__init__)
      198    0.001    0.000    0.002    0.000 _parser.py:230(__init__)
       25    0.000    0.000    0.002    0.000 functools.py:677(cache)
      119    0.001    0.000    0.002    0.000 inspect.py:764(unwrap)
       85    0.001    0.000    0.002    0.000 dataclasses.py:407(_fields_in_init_order)
      117    0.001    0.000    0.002    0.000 _policybase.py:301(header_source_parse)
       30    0.000    0.000    0.002    0.000 _compat.py:562(_annotation_is_complex)
        1    0.000    0.000    0.002    0.002 config.py:24(POSTGRES_DATABASE_URL)
       11    0.000    0.000    0.002    0.000 mapper.py:2356(_property_from_column)
     1018    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.002    0.002 networks.py:424(build)
       31    0.000    0.000    0.002    0.000 ipaddress.py:1286(__init__)
       56    0.001    0.000    0.002    0.000 <frozen posixpath>:72(join)
      903    0.002    0.000    0.002    0.000 _generate_schema.py:2420(_common_field)
       45    0.000    0.000    0.002    0.000 registry.py:120(_stored_in_collection)
       26    0.000    0.000    0.002    0.000 routing.py:571(get_route_handler)
        1    0.000    0.000    0.002    0.002 _enums.py:12(ConnStatus)
       49    0.000    0.000    0.002    0.000 __init__.py:851(normalize)
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.002    0.002 networks.py:340(__init__)
     1092    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       41    0.000    0.000    0.002    0.000 base.py:375(_accept_with)
        1    0.000    0.000    0.002    0.002 schema.py:317(Table)
        1    0.000    0.000    0.002    0.002 reflection.py:181(Inspector)
      928    0.002    0.000    0.002    0.000 {built-in method sys.intern}
      342    0.001    0.000    0.002    0.000 schema.py:1170(key)
        1    0.000    0.000    0.002    0.002 main.py:35(DotEnv)
        1    0.001    0.001    0.002    0.002 hmac.py:1(<module>)
       59    0.000    0.000    0.002    0.000 utils.py:59(get_path_param_names)
        1    0.000    0.000    0.002    0.002 ssl_.py:219(create_urllib3_context)
        1    0.000    0.000    0.002    0.002 models.py:283(Link)
      140    0.001    0.000    0.001    0.000 _compiler.py:470(_get_charset_prefix)
       12    0.000    0.000    0.001    0.000 message.py:600(get_content_type)
        1    0.000    0.000    0.001    0.001 networks.py:515(_build_type_adapter)
      338    0.001    0.000    0.001    0.000 base.py:1618(__contains__)
       11    0.000    0.000    0.001    0.000 mapper.py:2259(_make_prop_from_column)
       63    0.001    0.000    0.001    0.000 _generate_schema.py:553(collect_definitions)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
       30    0.000    0.000    0.001    0.000 routing.py:58(request_response)
       68    0.001    0.000    0.001    0.000 inspect.py:310(ismethoddescriptor)
      185    0.001    0.000    0.001    0.000 elements.py:5250(__new__)
     1008    0.001    0.000    0.001    0.000 typing.py:2204(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:337(_init_posix)
      211    0.001    0.000    0.001    0.000 decl_base.py:719(<genexpr>)
        1    0.000    0.000    0.001    0.001 adapt.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:7(Users)
        1    0.000    0.000    0.001    0.001 ddl.py:141(ExecutableDDLElement)
       26    0.000    0.000    0.001    0.000 routing.py:217(get_request_handler)
      939    0.001    0.000    0.001    0.000 fields.py:621(is_required)
        1    0.000    0.000    0.001    0.001 timeouts.py:26(Timeout)
      287    0.001    0.000    0.001    0.000 _adapters_map.py:112(register_dumper)
      972    0.001    0.000    0.001    0.000 _generate_schema.py:2267(apply_validators)
       18    0.000    0.000    0.001    0.000 sources.py:575(_get_resolved_field_value)
        1    0.000    0.000    0.001    0.001 persistence.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectable.py:473(HasHints)
       45    0.000    0.000    0.001    0.000 utils.py:317(add_non_field_param_to_dependency)
       52    0.001    0.000    0.001    0.000 _parser.py:273(getuntil)
      265    0.001    0.000    0.001    0.000 dataclasses.py:383(field)
       85    0.001    0.000    0.001    0.000 <frozen abc>:146(update_abstractmethods)
        1    0.000    0.000    0.001    0.001 pg8000.py:1(<module>)
      328    0.001    0.000    0.001    0.000 enum.py:69(_is_internal_class)
        9    0.000    0.000    0.001    0.000 params.py:28(__init__)
       38    0.000    0.000    0.001    0.000 attr.py:491(__call__)
      162    0.001    0.000    0.001    0.000 core_schema.py:493(any_schema)
      100    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      903    0.001    0.000    0.001    0.000 _generate_schema.py:2292(_validators_require_validate_default)
      686    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      187    0.001    0.000    0.001    0.000 inspect.py:1768(_check_instance)
        1    0.000    0.000    0.001    0.001 mapped_collection.py:1(<module>)
      185    0.001    0.000    0.001    0.000 _core_utils.py:207(_handle_ser_schemas)
       30    0.000    0.000    0.001    0.000 _utils.py:35(is_async_callable)
        1    0.000    0.000    0.001    0.001 _enums.py:61(ExecStatus)
        1    0.000    0.000    0.001    0.001 convertors.py:1(<module>)
      201    0.001    0.000    0.001    0.000 visitors.py:109(_generate_compiler_dispatch)
      307    0.001    0.000    0.001    0.000 _fields.py:371(is_valid_field_name)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       77    0.001    0.000    0.001    0.000 _typeinfo.py:256(__iter__)
       66    0.001    0.000    0.001    0.000 langhelpers.py:1303(__getattr__)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
      903    0.001    0.000    0.001    0.000 _generate_schema.py:222(apply_each_item_validators)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 _enums.py:203(DiagnosticField)
        1    0.000    0.000    0.001    0.001 _conninfo_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rows.py:1(<module>)
        1    0.000    0.000    0.001    0.001 url_safe.py:1(<module>)
       71    0.001    0.000    0.001    0.000 enum.py:1010(_find_new_)
        1    0.000    0.000    0.001    0.001 runners.py:1(<module>)
       42    0.000    0.000    0.001    0.000 _migration.py:262(wrapper)
       85    0.000    0.000    0.001    0.000 main.py:485(__setattr__)
       91    0.000    0.000    0.001    0.000 typing.py:2258(__getattr__)
  189/171    0.001    0.000    0.001    0.000 type_api.py:2310(to_instance)
      904    0.001    0.000    0.001    0.000 _generate_schema.py:2142(_apply_field_serializers)
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
      616    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
        9    0.000    0.000    0.001    0.000 parser.py:121(parse_value)
        1    0.000    0.000    0.001    0.001 inspection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 elements.py:1210(ColumnElement)
        1    0.000    0.000    0.001    0.001 models.py:292(Response)
      771    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
       45    0.000    0.000    0.001    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
     42/7    0.000    0.000    0.001    0.000 typing.py:2078(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 _struct.py:1(<module>)
      217    0.001    0.000    0.001    0.000 base.py:50(_is_event_name)
      112    0.000    0.000    0.001    0.000 _config.py:282(prepare_config)
       45    0.000    0.000    0.001    0.000 _core_utils.py:252(handle_set_schema)
       68    0.001    0.000    0.001    0.000 typing.py:1813(__hash__)
      918    0.001    0.000    0.001    0.000 _generate_schema.py:2019(<lambda>)
        1    0.000    0.000    0.001    0.001 generators.py:1(<module>)
      683    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.001    0.001 log.py:1(<module>)
        1    0.000    0.000    0.001    0.001 client_cursor.py:1(<module>)
       63    0.000    0.000    0.001    0.000 inspect.py:2001(_signature_get_user_defined_method)
      255    0.001    0.000    0.001    0.000 dataclasses.py:531(_field_init)
       67    0.000    0.000    0.001    0.000 <frozen _collections_abc>:815(__contains__)
        5    0.000    0.000    0.001    0.000 deprecations.py:161(became_legacy_20)
       11    0.000    0.000    0.001    0.000 _generate_schema.py:378(_enum_schema)
      187    0.001    0.000    0.001    0.000 langhelpers.py:317(_update_argspec_defaults_into_env)
       26    0.000    0.000    0.001    0.000 coroutines.py:20(iscoroutinefunction)
       58    0.001    0.000    0.001    0.000 dataclasses.py:1308(fields)
        1    0.000    0.000    0.001    0.001 _generics.py:1(<module>)
      168    0.000    0.000    0.001    0.000 schema.py:4403(__contains__)
      197    0.000    0.000    0.001    0.000 typing.py:1742(<genexpr>)
       66    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
       50    0.001    0.000    0.001    0.000 _model_construction.py:648(set_deprecated_descriptors)
        1    0.000    0.000    0.001    0.001 _forward_ref.py:1(<module>)
        8    0.001    0.000    0.001    0.000 _collections.py:76(merge_lists_w_ordering)
        9    0.000    0.000    0.001    0.000 _compat.py:236(is_scalar_field)
        1    0.000    0.000    0.001    0.001 _expression_select_cls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:487(_TraceAdaptRole)
       14    0.000    0.000    0.001    0.000 log.py:76(class_logger)
        1    0.000    0.000    0.001    0.001 row.py:50(Row)
        1    0.000    0.000    0.001    0.001 _elements_constructors.py:1(<module>)
        9    0.000    0.000    0.001    0.000 message.py:624(get_content_maintype)
       14    0.000    0.000    0.001    0.000 schema.py:4967(_set_parent)
        1    0.000    0.000    0.001    0.001 _preparing.py:1(<module>)
      178    0.001    0.000    0.001    0.000 _config.py:220(push)
       92    0.000    0.000    0.001    0.000 typing.py:581(is_origin_of_cls)
       63    0.000    0.000    0.001    0.000 <frozen os>:810(getenv)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:90(ServerVariable)
      152    0.001    0.000    0.001    0.000 _typeinfo.py:242(add)
        3    0.000    0.000    0.001    0.000 api.py:166(decorate)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.001    0.001 async_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 exceptions.py:9(HTTPException)
       72    0.001    0.000    0.001    0.000 __init__.py:110(read)
        1    0.000    0.000    0.001    0.001 _pipeline.py:1(<module>)
       69    0.001    0.000    0.001    0.000 _generate_schema.py:330(__init__)
      326    0.001    0.000    0.001    0.000 inspect.py:3061(<genexpr>)
       20    0.000    0.000    0.001    0.000 _collections.py:418(to_list)
        1    0.000    0.000    0.001    0.001 loaders.py:460(FunctionLoader)
       21    0.000    0.000    0.001    0.000 inspect.py:2095(_signature_bound_method)
        1    0.000    0.000    0.001    0.001 models.py:14(Dependant)
       16    0.000    0.000    0.001    0.000 type_adapter.py:58(_type_has_config)
        1    0.000    0.000    0.001    0.001 runtime.py:394(LoopContext)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.001    0.001 transaction.py:1(<module>)
       12    0.000    0.000    0.001    0.000 networks.py:302(__get_pydantic_core_schema__)
      649    0.001    0.000    0.001    0.000 weakref.py:414(__getitem__)
       45    0.000    0.000    0.001    0.000 typing.py:1131(_typevar_subst)
       69    0.000    0.000    0.001    0.000 status_codes.py:122(<genexpr>)
        2    0.000    0.000    0.001    0.001 subprocess.py:816(__init__)
        1    0.000    0.000    0.001    0.001 instrumentation.py:95(ClassManager)
      101    0.000    0.000    0.001    0.000 _generate_schema.py:2104(_apply_single_annotation_json_schema)
       71    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      687    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.001    0.000 decl_base.py:1359(_produce_column_copies)
       41    0.000    0.000    0.001    0.000 attr.py:332(for_modify)
       56    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.001    0.001 dml.py:1179(Insert)
        1    0.000    0.000    0.001    0.001 clsregistry.py:1(<module>)
       49    0.000    0.000    0.001    0.000 functions.py:1478(_register_generic_function)
        2    0.000    0.000    0.001    0.001 _tasks.py:1(<module>)
      675    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 models.py:238(Encoding)
       18    0.000    0.000    0.001    0.000 typing.py:336(is_non_string_iterable)
      226    0.001    0.000    0.001    0.000 enum.py:199(__get__)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1(<module>)
      753    0.001    0.000    0.001    0.000 typing_extensions.py:3570(__init__)
        2    0.000    0.000    0.001    0.001 websockets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 runtime.py:591(AsyncLoopContext)
       35    0.000    0.000    0.001    0.000 ipaddress.py:1661(_ip_int_from_string)
        8    0.000    0.000    0.001    0.000 parser.py:116(parse_unquoted_value)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
        1    0.000    0.000    0.001    0.001 visitors.py:579(_generate_traversal_dispatch)
        1    0.000    0.000    0.001    0.001 processors.py:1(<module>)
        4    0.000    0.000    0.001    0.000 instrumentation.py:193(_update_state)
        1    0.000    0.000    0.001    0.001 idtracking.py:33(Symbols)
      692    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:412(__init__)
       12    0.000    0.000    0.001    0.000 __init__.py:742(children)
        1    0.000    0.000    0.001    0.001 net.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _namespace_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dml.py:965(ValuesBase)
        1    0.000    0.000    0.001    0.001 schema.py:5940(Computed)
      111    0.000    0.000    0.001    0.000 core_schema.py:1894(dict_schema)
        1    0.000    0.000    0.001    0.001 loaders.py:152(FileSystemLoader)
        1    0.000    0.000    0.001    0.001 _fields.py:1(<module>)
      655    0.001    0.000    0.001    0.000 typing.py:1803(<genexpr>)
        1    0.000    0.000    0.001    0.001 result.py:904(Result)
       99    0.000    0.000    0.001    0.000 typing.py:130(de_stringify_annotation)
      572    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.001    0.001 selectable.py:370(HasPrefixes)
      623    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 runtime.py:144(Context)
        1    0.000    0.000    0.001    0.001 utils.py:563(SolvedDependency)
       12    0.000    0.000    0.001    0.000 enum.py:1455(_missing_)
        6    0.000    0.000    0.001    0.000 params.py:228(__init__)
      615    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.001    0.000 instrumentation.py:231(_finalize)
       20    0.000    0.000    0.001    0.000 compiler.py:45(optimizeconst)
        1    0.000    0.000    0.001    0.001 models.py:253(ParameterBase)
       60    0.000    0.000    0.001    0.000 _generate_schema.py:356(_types_namespace)
        1    0.000    0.000    0.001    0.001 main.py:476(SQLModelMetaclass)
      673    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
        1    0.000    0.000    0.001    0.001 status.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectable.py:421(HasSuffixes)
        1    0.000    0.000    0.001    0.001 multipart.py:115(MultipartState)
        1    0.000    0.000    0.001    0.001 exceptions_types.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _adapters.py:46(__init__)
        1    0.000    0.000    0.001    0.001 selector_events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 schema.py:4469(CheckConstraint)
        1    0.000    0.000    0.001    0.001 models.py:387(OAuthFlows)
       88    0.001    0.000    0.001    0.000 ipaddress.py:1213(_parse_octet)
       36    0.000    0.000    0.001    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.001    0.001 api_key.py:23(APIKeyQuery)
       68    0.000    0.000    0.001    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.001    0.001 models.py:21(Notes)
       86    0.000    0.000    0.001    0.000 functools.py:504(lru_cache)
        3    0.000    0.000    0.001    0.000 _adapters.py:63(_repair_headers)
        1    0.000    0.000    0.001    0.001 oauth2.py:391(OAuth2PasswordBearer)
      198    0.001    0.000    0.001    0.000 _parser.py:954(fix_flags)
        2    0.000    0.000    0.001    0.000 constants.py:1(<module>)
      636    0.001    0.000    0.001    0.000 enum.py:1213(__init__)
      615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
       12    0.000    0.000    0.001    0.000 async_utils.py:16(decorator)
      615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
        8    0.000    0.000    0.001    0.000 schema.py:3592(__init__)
        1    0.000    0.000    0.001    0.001 oauth2.py:308(OAuth2)
       66    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        2    0.000    0.000    0.001    0.000 decl_base.py:329(__init__)
        1    0.000    0.000    0.001    0.001 ext.py:109(ExcludeConstraint)
        1    0.000    0.000    0.001    0.001 _migration.py:1(<module>)
      615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
        8    0.000    0.000    0.001    0.000 compiler.py:883(__init_subclass__)
        1    0.000    0.000    0.001    0.001 calendar.py:60(Month)
        8    0.000    0.000    0.001    0.000 schema.py:3603(_maybe_wrap_callable)
        1    0.000    0.000    0.001    0.001 selectable.py:292(Selectable)
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
       71    0.001    0.000    0.001    0.000 enum.py:932(_check_for_existing_members_)
        1    0.000    0.000    0.001    0.001 _connection_info.py:1(<module>)
        1    0.000    0.000    0.001    0.001 exceptions_types.py:20(ValidatedEmail)
        1    0.000    0.000    0.001    0.001 dependency.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:85(_PassArg)
       26    0.000    0.000    0.001    0.000 utils.py:179(generate_unique_id)
        1    0.000    0.000    0.001    0.001 __init__.py:204(Interval)
      208    0.001    0.000    0.001    0.000 base.py:170(_event_descriptors)
      199    0.001    0.000    0.001    0.000 typing.py:1807(__eq__)
        5    0.000    0.000    0.001    0.000 typing.py:709(ClassVar)
       31    0.000    0.000    0.001    0.000 dataclasses.py:886(_hash_add)
        1    0.000    0.000    0.001    0.001 encoding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
      138    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
        7    0.000    0.000    0.001    0.000 sqltypes.py:3101(_set_parent_with_dispatch)
        1    0.000    0.000    0.001    0.001 schema.py:3267(_set_table)
        2    0.000    0.000    0.001    0.000 subprocess.py:1810(_execute_child)
      103    0.000    0.000    0.001    0.000 _utils.py:106(is_model_class)
      168    0.000    0.000    0.001    0.000 compat.py:211(<lambda>)
       36    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.001    0.001 dml.py:1506(Update)
      101    0.001    0.000    0.001    0.000 _generate_schema.py:2120(_get_wrapped_inner_schema)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
        1    0.000    0.000    0.001    0.001 connection_async.py:1(<module>)
        1    0.000    0.000    0.001    0.001 psycopg2.py:1(<module>)
        6    0.000    0.000    0.001    0.000 compiler.py:1330(_init_compiler_cls)
       91    0.000    0.000    0.001    0.000 core_schema.py:1488(list_schema)
        2    0.000    0.000    0.001    0.000 instrumentation.py:342(_instrument_init)
       36    0.000    0.000    0.001    0.000 __init__.py:1409(_fixupParents)
      467    0.001    0.000    0.001    0.000 dataclasses.py:691(_is_classvar)
        1    0.000    0.000    0.001    0.001 decoders.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:1(<module>)
      102    0.000    0.000    0.001    0.000 _compat.py:121(is_table_model_class)
        5    0.000    0.000    0.001    0.000 copyreg.py:107(_slotnames)
       38    0.000    0.000    0.001    0.000 typing.py:1326(__mro_entries__)
       47    0.000    0.000    0.001    0.000 langhelpers.py:1615(__new__)
        1    0.000    0.000    0.001    0.001 typing.py:3048(NamedTuple)
      178    0.001    0.000    0.001    0.000 _generate_schema.py:2512(push)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decl_base.py:441(_ClassScanMapperConfig)
        1    0.000    0.000    0.001    0.001 _expression_select_cls.py:18(SelectBase)
        1    0.000    0.000    0.001    0.001 lexer.py:471(Lexer)
      501    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        6    0.000    0.000    0.001    0.000 compiler.py:1334(_init_bind_translate)
        1    0.000    0.000    0.001    0.001 default_comparator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:96(Server)
       11    0.000    0.000    0.001    0.000 properties.py:291(instrument_class)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 main.py:84(BaseModel)
        1    0.000    0.000    0.001    0.001 routing.py:388(APIWebSocketRoute)
        3    0.000    0.000    0.001    0.000 attr.py:207(append)
      358    0.001    0.000    0.001    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
        2    0.000    0.000    0.001    0.000 instrumentation.py:612(create_manager_for_cls)
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
        3    0.000    0.000    0.001    0.000 attr.py:178(_do_insert_or_append)
        2    0.000    0.000    0.001    0.000 mapper.py:1592(_configure_pks)
       21    0.000    0.000    0.001    0.000 inspect.py:3082(replace)
       22    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      170    0.001    0.000    0.001    0.000 schema.py:2256(_extra_kwargs)
        1    0.000    0.000    0.001    0.001 collections.py:185(collection)
        1    0.000    0.000    0.001    0.001 socks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base.py:1186(_ConnectionFairy)
       73    0.000    0.000    0.001    0.000 core_schema.py:591(int_schema)
       14    0.000    0.000    0.001    0.000 networks.py:102(defined_constraints)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cursor_async.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sqltypes.py:2182(JSON)
        1    0.000    0.000    0.001    0.001 params.py:139(Path)
        1    0.000    0.000    0.001    0.001 url.py:46(URL)
        1    0.000    0.000    0.001    0.001 http.py:97(HTTPBasic)
        2    0.000    0.000    0.001    0.000 instrumentation.py:713(_generate_init)
        2    0.000    0.000    0.001    0.000 instrumentation.py:148(__init__)
      157    0.000    0.000    0.001    0.000 typing.py:1230(<genexpr>)
       26    0.000    0.000    0.001    0.000 typing.py:1754(<genexpr>)
        1    0.000    0.000    0.001    0.001 params.py:479(Body)
        1    0.000    0.000    0.001    0.001 exceptions.py:18(TemplateNotFound)
      446    0.001    0.000    0.001    0.000 dataclasses.py:699(_is_initvar)
       18    0.000    0.000    0.001    0.000 sources.py:770(get_field_value)
        1    0.000    0.000    0.001    0.001 numpy.py:1(<module>)
        3    0.000    0.000    0.001    0.000 collections.py:936(_setup_canned_roles)
        1    0.000    0.000    0.001    0.001 params.py:596(Form)
        1    0.000    0.000    0.001    0.001 _core_metadata.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
        1    0.000    0.000    0.001    0.001 params.py:225(Query)
        1    0.000    0.000    0.001    0.001 _adapters.py:19(Message)
        1    0.000    0.000    0.001    0.001 selectable.py:2506(HasCTE)
       16    0.000    0.000    0.001    0.000 type_adapter.py:319(_defer_build)
        6    0.000    0.000    0.001    0.000 _fields.py:379(takes_validated_data_argument)
       77    0.000    0.000    0.001    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.001    0.001 params.py:395(Cookie)
        1    0.000    0.000    0.001    0.001 models.py:315(PathItem)
        1    0.000    0.000    0.001    0.001 schema.py:4580(ForeignKeyConstraint)
        1    0.000    0.000    0.001    0.001 lexer.py:465(_Rule)
       84    0.000    0.000    0.001    0.000 utils.py:205(get_value_or_default)
      148    0.000    0.000    0.001    0.000 _generate_schema.py:2308(apply_model_validators)
        1    0.000    0.000    0.001    0.001 state.py:99(InstanceState)
        1    0.000    0.000    0.001    0.001 selectable.py:2926(Subquery)
        1    0.000    0.000    0.001    0.001 params.py:309(Header)
      117    0.001    0.000    0.001    0.000 __init__.py:407(__getitem__)
        1    0.000    0.000    0.001    0.001 params.py:680(File)
       11    0.000    0.000    0.001    0.000 attributes.py:2636(register_descriptor)
        1    0.000    0.000    0.001    0.001 schema.py:2753(ForeignKey)
      418    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       10    0.000    0.000    0.001    0.000 _text.py:79(__hash__)
        2    0.000    0.000    0.001    0.000 subprocess.py:1767(_posix_spawn)
        1    0.000    0.000    0.001    0.001 scoping.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _core_utils.py:176(__init__)
      481    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      466    0.001    0.000    0.001    0.000 dataclasses.py:705(_is_kw_only)
        1    0.000    0.000    0.001    0.001 shlex.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _core_utils.py:183(_build_schema_type_to_method)
      428    0.001    0.000    0.001    0.000 typing.py:840(<genexpr>)
       50    0.000    0.000    0.001    0.000 _config.py:332(check_deprecated)
        1    0.000    0.000    0.001    0.001 schema.py:4345(ColumnCollectionConstraint)
       70    0.000    0.000    0.001    0.000 core_schema.py:3102(model_schema)
        1    0.000    0.000    0.001    0.001 exception_handlers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _copy_async.py:1(<module>)
    65/53    0.000    0.000    0.001    0.000 langhelpers.py:1142(__get__)
        3    0.000    0.000    0.001    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.001    0.001 exceptions.py:68(WebSocketException)
       16    0.000    0.000    0.001    0.000 type_adapter.py:326(_model_config)
        1    0.000    0.000    0.001    0.001 named_types.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectable.py:6991(TextualSelect)
      432    0.001    0.000    0.001    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.001    0.001 elements.py:4405(FunctionFilter)
       10    0.000    0.000    0.001    0.000 main.py:646(get_sqlalchemy_type)
